LETTER,TYPE,INVERSION,STRINGONE,STRINGTWO,STRINGTHREE,STRINGFOUR,STRINGFIVE,STRINGSIX,SHAPE
Cn,MAJOR,0,8,7,5,5,5,0,1
Cn,MAJOR,0,X,3,2,0,1,0,0
Cn,MAJOR7,0,X,3,2,4,0,3,0
Cn,MAJOR9,0,X,3,0,3,5,3,0
Cn,MINOR,0,8,6,5,0,8,8,1
Cn,MINOR,0,X,3,1,0,1,3,0
Cn,MINOR7,0,X,3,1,3,1,3,0
Cn,MINOR9,0,X,3,0,3,4,3,0
Cn,DIMINISHED,0,X,3,1,X,1,2,0
Cn,DOMINANT7,0,X,3,2,3,X,3,0
Cn,DOMINANT9,0,X,3,2,3,X,3,0
Cn,SUS2,0,8,5,5,0,8,8,1
Cn,SUS2,0,X,3,0,0,3,3,0
Cn,SUS4,0,8,8,5,5,6,8,1
Cn,SUS4,0,X,3,3,0,1,1,0
Cn,FIFTH,0,X,3,X,0,1,3,0
Cn,SEVENTH,0,3,2,0,0,0,0,0
Cn,DIMINISHED,0,X,3,1,X,1,2,0
Cn,MINOR11,0,8,5,5,8,6,6,0
Cn,DOMINANT13,0,X,3,5,3,5,5,0
Cn,HALF-DIM,0,X,3,1,3,1,2,0
Cn,MAJOR6,0,X,3,2,2,1,3,0
Cn,MINOR6,0,X,3,1,2,3,3,0
An,MAJOR,0,5,7,7,6,5,5,1
An,MAJOR,0,X,0,2,2,2,0,0
An,MINOR,0,X,0,2,2,1,0,1
An,DOMINANT,0,5,4,5,0,5,0,1
An,DOMINANT,0,X,0,2,0,2,0,0
An,SUS2,0,X,0,X,X,0,0,0
An,SUS4,0,5,0,0,7,5,5,1
An,FIFTH,0,X,0,X,X,X,0,0
An,SEVENTH,0,X,0,2,0,2,0,0
An,MINOR7,0,X,3,1,3,1,3,0
An,MINOR9,0,X,3,0,3,4,3,0
An,DIMINISHED,0,X,3,1,X,1,2,0
An,DOMINANT9,0,X,3,2,3,X,3,0
An,MINOR11,0,8,6,5,5,6,6,0
An,MAJOR6,0,5,4,4,X,5,5,0
An,MINOR6,0,5,3,2,2,0,0,0
An,HALF-DIM,0,X,3,1,3,1,2,0
An,MINOR9,0,X,3,0,3,4,3,0
An,AUG,0,X,0,3,2,2,1,
An,,0,,,,,,,
An,,0,,,,,,,
An,,0,,,,,,,
Bn,MAJOR,0,7,6,4,4,0,7,1
Bn,MAJOR,0,X,2,1,X,0,2,0
Bn,MINOR,0,X,2,0,X,0,2,0
Bn,MINOR,0,7,9,9,7,7,7,1
Bn,DOMINANT,0,7,0,4,4,4,5,1
Bn,DOMINANT,0,X,2,1,2,0,2,0
Bn,SUS2,0,X,2,X,X,2,2,0
Bn,SUS4,0,7,7,9,9,7,7,1
Bn,FIFTH,0,X,2,X,X,0,2,0
Bn,SEVENTH,0,X,2,1,2,0,2,0
Bn,MAJOR7,0,7,9,8,8,7,7,0
Bn,MAJOR9,0,,,,,,,
Bn,MINOR7,0,X,2,0,2,0,2,0
Bn,AUG,0,X,2,1,0,0,3,
Bn,MAJOR6,0,X,2,1,1,0,2,
Bn,HALF-DIM,0,X,2,0,2,0,1,0
Bn,MINOR11,0,,,,,,,
Dn,MAJOR,0,X,X,0,2,3,2,0
Dn,MINOR,0,X,X,0,2,3,1,0
Dn,DOMINANT,0,X,X,0,2,1,2,0
Dn,SUS2,0,X,X,0,2,X,0,0
Dn,SUS4,0,X,X,0,2,3,3,0
Dn,FIFTH,0,X,X,0,2,X,X,0
Dn,SEVENTH,0,X,X,0,2,1,2,0
Dn,MAJOR7,0,X,X,0,2,2,2,1
Dn,MAJOR9,0,X,2,1,X,2,2,
Dn,MINOR11,0,10,0,10,10,8,0,
Dn,MINOR7,0,X,X,0,2,1,1,1
Dn,MINOR9,0,X,5,7,5,6,0,
Dn,HALF-DIM,0,X,X,0,1,1,1,1
Dn,DIMINISHED,0,X,X,0,1,3,1,
Dn,MINOR6,0,X,5,3,4,5,5,
Dn,MAJOR6,0,X,5,4,4,3,5,
En,MAJOR,0,0,2,2,1,0,0,0
En,MINOR,0,0,2,2,0,0,0,0
